,count,mean,std,min,1%,5%,50%,95%,99%,max,skew,kurtosis
oil_price_end,60.0,80.72616666666666,13.414648215716,60.85,62.189299999999996,63.522999999999996,78.66,108.01499999999999,118.10229999999997,122.84,1.0685675311504172,1.1636157447361053
oil_return_monthly,60.0,-0.0032647972064997694,0.07285953068947518,-0.1632420865300384,-0.14774390739543491,-0.1212808133423265,-0.0002125923642397002,0.10185272117266253,0.18742274257942582,0.2251700812105821,0.38882420091749453,0.7148719545038831
usdpkr_end,60.0,240.50450000000004,51.202096932198366,153.88,154.1868,157.5825,277.865,284.4285,296.64519999999993,307.1,-0.6173911794395408,-1.3722280958057458
usdpkr_return_monthly,60.0,0.008285446998032164,0.033637946873928445,-0.0830608585812335,-0.0817521879716645,-0.023999034950210593,0.001995270430656,0.06290176810889785,0.10727182467490398,0.1546689758077704,1.1546765227048768,6.3926481858228
interest_rate_end,60.0,14.554166666666667,5.303319169071342,7.25,7.25,7.25,13.75,22.0,22.0,22.0,0.17777959950315647,-1.3882966904517529
cpi_yoy_end,60.0,15.365000000000002,10.669961399704613,0.3,0.3,1.5,11.8,35.4,38.0,38.0,0.5295455049773581,-0.9352171562466078
idx_return_monthly,60.0,0.018303417147026584,0.05567709957224408,-0.0936176613956454,-0.08477225556083215,-0.06246386648362509,0.009907312911385201,0.12376559529369813,0.1481499600741885,0.1531474955084127,0.44961919767362024,-0.056331667126195306
idx_vol_monthly,60.0,0.18280864981891035,0.06349641235279602,0.0886225342903552,0.08920050804712597,0.10227379866717305,0.18403616515381016,0.2555368264068456,0.3831221774993453,0.4065175527159101,1.075758651426917,2.067664465289918
sector_aum_mn,60.0,853.0783333333333,523.2380243211308,456.2000000000001,457.50390000000004,461.036,546.025,2005.7759999999998,2379.9626,2414.1,1.5348707006515865,1.480479765943842
total_fund_flow,60.0,13.610869321077159,37.94386243234909,-44.00676032130978,-43.907985406331086,-9.36179483967433,1.8124918869206699,76.06473829805931,152.40800283060716,234.85811286279372,3.7232379113503047,19.585817516496334
flow_pct_sector,59.0,0.012875670949699231,0.028841216262105524,-0.0372973415498985,-0.028361630274271403,-0.01783403419823639,0.0032822312364058,0.057764775455510106,0.11354472628267014,0.1145984741206176,1.7764718224656448,4.096396199933981
