,oil_price_end,oil_return_monthly,usdpkr_end,usdpkr_return_monthly,interest_rate_end,cpi_yoy_end,idx_return_monthly,idx_vol_monthly,sector_aum_mn,total_fund_flow,flow_pct_sector,gdp_usd,gdp_yoy
oil_price_end,1.0,-0.18725924993765536,-0.2747525109075909,0.21688644289262737,0.2472895242960246,0.3976178234186987,-0.21178450419779615,-0.021693887906784472,-0.540323227215587,-0.26742979543239365,-0.19896828411820838,-0.00819765019655866,0.3257899073929283
oil_return_monthly,-0.18725924993765536,1.0,0.16532423592214454,0.10503502665492145,0.1285146363530519,0.035236760613872146,-0.040743492591341905,-0.09494161408522182,0.06014667498826032,0.03142344457906496,-0.10100373528257102,-0.052605928076601575,-0.13317881243758048
usdpkr_end,-0.2747525109075909,0.16532423592214454,1.0,-0.10285917683908614,0.6643033672923458,0.11167681798402829,0.4241114872161648,0.12109372622135096,0.5182904245034741,0.2456477274912527,0.24152387766959138,0.7042062080099989,-0.015287451357852411
usdpkr_return_monthly,0.21688644289262737,0.10503502665492145,-0.10285917683908614,1.0,-0.008104616193467206,0.13623478208386378,-0.21699933395822676,-0.0790789904980653,-0.20872248747479333,-0.07052247954006133,-0.047451014091688094,0.0010591835861385843,0.17484061410048174
interest_rate_end,0.2472895242960246,0.1285146363530519,0.6643033672923458,-0.008104616193467206,1.0,0.6935386555237393,0.17946425229535787,-0.050416598561876726,-0.22345812266021597,-0.05954221470916314,0.055180046052071254,0.42645492997542656,-0.13762507562137397
cpi_yoy_end,0.3976178234186987,0.035236760613872146,0.11167681798402829,0.13623478208386378,0.6935386555237393,1.0,-0.11163380761227087,-0.17220759512145922,-0.6018417898973069,-0.22297403855468056,-0.1375854546071172,0.2354117384163287,0.13305644065547534
idx_return_monthly,-0.21178450419779615,-0.040743492591341905,0.4241114872161648,-0.21699933395822676,0.17946425229535787,-0.11163380761227087,1.0,0.19406433723853703,0.3652859174132934,0.19006935680425618,0.28759849905137935,0.261222472803634,-0.08731013079973393
idx_vol_monthly,-0.021693887906784472,-0.09494161408522182,0.12109372622135096,-0.0790789904980653,-0.050416598561876726,-0.17220759512145922,0.19406433723853703,1.0,0.1390550577123496,-0.07928352399705825,0.0026012110225015245,0.187278436397356,0.13880479742895835
sector_aum_mn,-0.540323227215587,0.06014667498826032,0.5182904245034741,-0.20872248747479333,-0.22345812266021597,-0.6018417898973069,0.3652859174132934,0.1390550577123496,1.0,0.4463565869015872,0.279068148309546,0.3841520057796647,0.0964689752531004
total_fund_flow,-0.26742979543239365,0.03142344457906496,0.2456477274912527,-0.07052247954006133,-0.05954221470916314,-0.22297403855468056,0.19006935680425618,-0.07928352399705825,0.4463565869015872,1.0,0.8678670015791558,0.13292838977951435,-0.025242573793238975
flow_pct_sector,-0.19896828411820838,-0.10100373528257102,0.24152387766959138,-0.047451014091688094,0.055180046052071254,-0.1375854546071172,0.28759849905137935,0.0026012110225015245,0.279068148309546,0.8678670015791558,1.0,0.060335756583952425,-0.14638001194516675
gdp_usd,-0.00819765019655866,-0.052605928076601575,0.7042062080099989,0.0010591835861385843,0.42645492997542656,0.2354117384163287,0.261222472803634,0.187278436397356,0.3841520057796647,0.13292838977951435,0.060335756583952425,1.0,0.6402763354472247
gdp_yoy,0.3257899073929283,-0.13317881243758048,-0.015287451357852411,0.17484061410048174,-0.13762507562137397,0.13305644065547534,-0.08731013079973393,0.13880479742895835,0.0964689752531004,-0.025242573793238975,-0.14638001194516675,0.6402763354472247,1.0
